Fecha;Hora;PM25_P1;Rhum_P1;Temp_P1;PM25_P2;Rhum_P2;Temp_P2;PM25_P3;Rhum_P3;Temp_P3;PM25_P4;Rhum_P4;Temp_P4;PM25_P5;Rhum_P5;Temp_P5;PM25_Sinca;Temp_Sinca;Rhum_Sinca
250603;1700;67,333;53,317;15,017;69,333;56,333;14,9;62,5;61,267;14,65;77,95;66,933;14,233;75,45;66,167;14,8;58;12,2333;69,1667
250603;1800;62,05;59,517;13,35;66,4;63,033;13,167;59,533;66,167;13;74,017;71,367;12,9;71,5;70,133;13,117;59;11,5917;71,4167
250603;1900;57,083;54,017;14;60,15;57,25;14;54,7;61,067;13,6;64,4;66,183;13,2;63,583;65,8;13,983;51;12,6667;61,4167
250603;2000;46,983;47,9;14;49,767;51,05;14;45,35;55,75;13,767;51,283;60,933;13,45;51,417;60,767;14;29;12,6667;55,25
250603;2100;63,367;52,183;13,95;68,15;55,883;13,283;62,483;60,1;13,017;75,95;65,367;13;74,7;64,9;13,1;57;12,0167;61,4167
250603;2200;57,267;53,683;13;61,467;57,483;13;56,167;61,15;13;66,65;66,217;12,517;64,5;65,383;13;49;11,3833;63,9167
250603;2300;52,417;52,167;13;55,467;55,867;12,817;50,533;60,133;12,217;56,333;65,35;12,15;56,4;64,883;12,533;43;11,225;61,5833
250604;0;41,35;48,017;13;43,667;51,633;12,567;39,883;56,233;12,233;43,7;61,467;12,1;44,483;61,25;12,267;26;11,4083;55,4167
250604;100;56,15;54,25;12,417;59,783;58,233;12;54,417;62,417;11,933;62,933;67,45;11,717;62,083;66,583;12,183;41;10,5;65,9167
250604;200;42,55;58,633;11,067;44,55;62,6;10,867;39,9;66,017;10,467;44,933;71,133;10,15;45,183;69,55;10,967;26;8,71667;73,1667
250604;300;45,05;61,083;10,383;47,483;65,383;10,167;42,183;68,217;10,017;48,017;73,15;9,983;48,05;71,683;10,233;22;8,59167;73,9167
250604;400;55,467;59,75;10,967;58,9;63,717;10,883;53,183;66,783;10,6;59,983;71,55;10,15;59,183;70,767;10,817;35;9,39168;69,9167
250604;500;50,25;56,2;11;52,933;60,117;11;47,667;63,75;11;53,233;68,683;10,633;53,633;68,017;11;35;9,47501;66,6667
250604;600;54,85;60,183;11;58,65;64,583;10,3;51,95;67,883;10,25;61,733;72,817;10,067;60,3;71,35;10,5;37;8,68333;74,25
250604;700;74,633;63,167;11,083;80,683;67,467;10,8;70,85;69,633;10,633;90,95;74,183;10,383;86,283;73,2;11;56;9,41667;74,3333
250604;800;65,333;57,483;12,15;69,65;61,283;11,883;61,433;65,417;11,333;77,867;70,4;11,2;75,417;69,75;11,5;48;9,91667;69,5
250604;900;79,167;53,333;14,383;86,567;57,183;13,883;77,15;62,6;12,95;95,15;67,533;12,833;93,617;67,2;13;57;10,3333;70,8333
250604;1000;97,25;47,2;17,7;108,033;51,383;16,967;99,083;58,917;15,3;112,283;63,717;15,4;115,85;63,817;15,667;75;11,0083;72,1667
250604;1100;101,217;25,717;29,983;113,483;27,15;28,717;107,283;40,383;23,983;107,95;45,25;24,783;121,25;46,817;24,433;78;13,4083;61,5833
250604;1200;81,85;16,9;35,217;91,217;17,417;34,067;86,117;33,483;27,117;89,4;38,85;28,383;98,217;41,5;27,033;63;15,3917;50,0833
250604;1300;89,617;16,083;34,95;98,717;16,067;34,55;93,033;34,15;26,433;100,033;40,233;26,75;106,233;42,35;26;65;15,9833;48,3333
250604;1400;99,483;19,033;31,633;110,25;15,75;34,517;104,15;37,367;24,133;113,1;42,6;24,833;118,833;44,783;23,983;77;16,0167;48,75
250604;1500;94,067;24,083;26,55;103,883;17,85;31,767;97,867;38,433;22,567;110,417;44,667;22,483;112,033;46,25;22,233;81;16,5917;44,75
250604;1600;82,55;30,967;20,583;91,133;29,517;22,417;85,333;43,183;19,033;99,267;49,267;18,75;97,583;49,683;19;68;16,1333;44
250604;1700;89,65;48,75;14,733;94,117;52,233;14,4;86,133;57,733;14,533;109,717;63,483;14,15;105,25;62,233;14,9;74;13,1417;60,5833
250604;1800;93,417;63,75;11,417;97,583;67,017;11,233;85,15;69,917;11,417;114,867;75,35;10,917;104,383;73,15;11,7;69;10,35;76,3333
250604;1900;96,5;69,033;10;101,267;72,383;9,967;87,6;74,6;9,85;122,633;80,25;9,3;107,667;77,55;10,167;70;9,23334;79,8333
250604;2000;92,917;68,267;9,183;98,417;72,7;9;84,817;74,767;9;120,317;80,033;8,9;105,75;77,467;9,25;68;8,825;76,6667
250604;2100;86,85;67,417;9;91,317;71,867;8,95;79,017;74,25;8,533;112,967;79,233;8,167;99,567;76,95;9;60;8,30833;75,5
250604;2200;69,433;64,867;8,5;72,867;69,317;8,267;64,383;72,333;7,983;89,35;77,517;7,65;78,833;74,8;8,167;47;7,86667;71,5833
250604;2300;62,317;65,85;7,617;65,483;70,933;7,35;58,25;74,25;7;77,017;79,167;6,817;67,25;76,417;7,383;39;6,61667;76,1667
250605;0;58,917;66,25;7;61,617;70,683;7;55,833;74,067;6,883;70,133;78,717;6,25;63,467;76,567;7;35;6,40833;74,6667
250605;100;56,3;63,017;7,1;58,783;67,433;7;52,833;71,517;7;65,667;76,117;6,317;61,017;74,533;7;34;6,45;71,1667
250605;200;51,383;61,9;6,95;52,917;66,833;6,65;47,05;70,85;6,517;58,367;75,65;5,95;54,783;73,817;6,583;29;5,98333;71,0833
