date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
04-06-2025 1:00;1;mié\,;PM25;P1;154,15;PM25;SINCA;41
04-06-2025 1:00;1;mié\,;PM25;P2;158,783;PM25;SINCA;41
04-06-2025 1:00;1;mié\,;PM25;P3;154,417;PM25;SINCA;41
04-06-2025 1:00;1;mié\,;PM25;P4;164,933;PM25;SINCA;41
04-06-2025 1:00;1;mié\,;PM25;P5;165,083;PM25;SINCA;41
04-06-2025 2:00;2;mié\,;PM25;P1;140,55;PM25;SINCA;26
04-06-2025 2:00;2;mié\,;PM25;P2;143,55;PM25;SINCA;26
04-06-2025 2:00;2;mié\,;PM25;P3;139,9;PM25;SINCA;26
04-06-2025 2:00;2;mié\,;PM25;P4;146,933;PM25;SINCA;26
04-06-2025 2:00;2;mié\,;PM25;P5;148,183;PM25;SINCA;26
04-06-2025 3:00;3;mié\,;PM25;P1;143,05;PM25;SINCA;22
04-06-2025 3:00;3;mié\,;PM25;P2;146,483;PM25;SINCA;22
04-06-2025 3:00;3;mié\,;PM25;P3;142,183;PM25;SINCA;22
04-06-2025 3:00;3;mié\,;PM25;P4;150,017;PM25;SINCA;22
04-06-2025 3:00;3;mié\,;PM25;P5;151,05;PM25;SINCA;22
04-06-2025 4:00;4;mié\,;PM25;P1;153,467;PM25;SINCA;35
04-06-2025 4:00;4;mié\,;PM25;P2;157,9;PM25;SINCA;35
04-06-2025 4:00;4;mié\,;PM25;P3;153,183;PM25;SINCA;35
04-06-2025 4:00;4;mié\,;PM25;P4;161,983;PM25;SINCA;35
04-06-2025 4:00;4;mié\,;PM25;P5;162,183;PM25;SINCA;35
04-06-2025 5:00;5;mié\,;PM25;P1;148,25;PM25;SINCA;35
04-06-2025 5:00;5;mié\,;PM25;P2;151,933;PM25;SINCA;35
04-06-2025 5:00;5;mié\,;PM25;P3;147,667;PM25;SINCA;35
04-06-2025 5:00;5;mié\,;PM25;P4;155,233;PM25;SINCA;35
04-06-2025 5:00;5;mié\,;PM25;P5;156,633;PM25;SINCA;35
04-06-2025 6:00;6;mié\,;PM25;P1;152,85;PM25;SINCA;37
04-06-2025 6:00;6;mié\,;PM25;P2;157,65;PM25;SINCA;37
04-06-2025 6:00;6;mié\,;PM25;P3;151,95;PM25;SINCA;37
04-06-2025 6:00;6;mié\,;PM25;P4;163,733;PM25;SINCA;37
04-06-2025 6:00;6;mié\,;PM25;P5;163,3;PM25;SINCA;37
04-06-2025 7:00;7;mié\,;PM25;P1;172,633;PM25;SINCA;56
04-06-2025 7:00;7;mié\,;PM25;P2;179,683;PM25;SINCA;56
04-06-2025 7:00;7;mié\,;PM25;P3;170,85;PM25;SINCA;56
04-06-2025 7:00;7;mié\,;PM25;P4;192,95;PM25;SINCA;56
