date;PM25_P1;PM25_P2;PM25_P3;PM25_P4;PM25_P5;PM25_SINCA;hour;wday
04-06-2025 1:00;154,15;158,783;154,417;164,933;165,083;41;1;mié\,
04-06-2025 2:00;140,55;143,55;139,9;146,933;148,183;26;2;mié\,
04-06-2025 3:00;143,05;146,483;142,183;150,017;151,05;22;3;mié\,
04-06-2025 4:00;153,467;157,9;153,183;161,983;162,183;35;4;mié\,
04-06-2025 5:00;148,25;151,933;147,667;155,233;156,633;35;5;mié\,
04-06-2025 6:00;152,85;157,65;151,95;163,733;163,3;37;6;mié\,
04-06-2025 7:00;172,633;179,683;170,85;192,95;189,283;56;7;mié\,
04-06-2025 8:00;163,333;168,65;161,433;179,867;178,417;48;8;mié\,
04-06-2025 9:00;177,167;185,567;177,15;197,15;196,617;57;9;mié\,
04-06-2025 10:00;195,25;207,033;199,083;214,283;218,85;75;10;mié\,
04-06-2025 11:00;199,217;212,483;207,283;209,95;224,25;78;11;mié\,
04-06-2025 12:00;179,85;190,217;186,117;191,4;201,217;63;12;mié\,
04-06-2025 13:00;187,617;197,717;193,033;202,033;209,233;65;13;mié\,
04-06-2025 14:00;197,483;209,25;204,15;215,1;221,833;77;14;mié\,
04-06-2025 15:00;192,067;202,883;197,867;212,417;215,033;81;15;mié\,
04-06-2025 16:00;180,55;190,133;185,333;201,267;200,583;68;16;mié\,
04-06-2025 17:00;187,65;193,117;186,133;211,717;208,25;74;17;mié\,
04-06-2025 18:00;191,417;196,583;185,15;216,867;207,383;69;18;mié\,
04-06-2025 19:00;194,5;200,267;187,6;224,633;210,667;70;19;mié\,
04-06-2025 20:00;190,917;197,417;184,817;222,317;208,75;68;20;mié\,
04-06-2025 21:00;184,85;190,317;179,017;214,967;202,567;60;21;mié\,
04-06-2025 22:00;167,433;171,867;164,383;191,35;181,833;47;22;mié\,
04-06-2025 23:00;160,317;164,483;158,25;179,017;170,25;39;23;mié\,
05-06-2025;156,917;160,617;155,833;172,133;166,467;35;0;jue\,
05-06-2025 1:00;154,3;157,783;152,833;167,667;164,017;34;1;jue\,
05-06-2025 2:00;149,383;151,917;147,05;160,367;157,783;29;2;jue\,
05-06-2025 3:00;143,933;146,267;141,583;155,4;152,217;23;3;jue\,
05-06-2025 4:00;140,767;142,467;137,683;152,167;148,767;21;4;jue\,
05-06-2025 5:00;132,133;133,083;129,183;142,967;140,7;16;5;jue\,
05-06-2025 6:00;124,133;124,4;120,417;133,333;130,967;13;6;jue\,
05-06-2025 7:00;114,967;114,383;111,633;122,883;122,55;11;7;jue\,
05-06-2025 8:00;111,317;110,9;109,833;116,717;118,583;13;8;jue\,
05-06-2025 9:00;108,9;109,383;109,467;110,95;115,65;13;9;jue\,
05-06-2025 10:00;130,45;134,6;132,65;133,417;140,55;21;10;jue\,
05-06-2025 11:00;140,7;143,4;142,15;148,8;148,967;36;11;jue\,
05-06-2025 12:00;142,25;145,1;143,633;150,167;150,617;37;12;jue\,
05-06-2025 13:00;140,067;142,5;141,183;148,25;148,483;33;13;jue\,
05-06-2025 14:00;142,8;145,267;143,85;152,983;151,3;42;14;jue\,
05-06-2025 15:00;157,183;163,233;158,867;180,383;172,717;57;15;jue\,
05-06-2025 16:00;180,067;190,017;181,9;215,717;200,4;82;16;jue\,
05-06-2025 17:00;184,717;189,183;181,383;220,783;203,333;86;17;jue\,
05-06-2025 18:00;179,333;184,817;175,167;215,217;195,067;78;18;jue\,
05-06-2025 19:00;159,167;163;157,867;185,2;172,583;61;19;jue\,
05-06-2025 20:00;151,867;155,117;151,1;168,55;161,45;49;20;jue\,
05-06-2025 21:00;143,9;146,85;143,467;154,617;152,767;36;21;jue\,
05-06-2025 22:00;138,667;141,183;138,083;148,283;146,867;27;22;jue\,
05-06-2025 23:00;134,583;136,7;133,45;143,5;142,717;27;23;jue\,
06-06-2025;125,9;126,767;123,75;135,133;133,267;17;0;vie\,
06-06-2025 1:00;114,083;113,283;111,217;123,917;122,017;12;1;vie\,
06-06-2025 2:00;106,433;106,45;106,25;112,783;112,483;8;2;vie\,
06-06-2025 3:00;102,233;102,733;102,667;106,617;107,767;6;3;vie\,
06-06-2025 4:00;100,05;100,333;100,983;104,433;105,467;4;4;vie\,
06-06-2025 5:00;99,033;99,467;100,1;103,133;104,2;6;5;vie\,
06-06-2025 6:00;98,083;99,05;100;102,05;103,167;7;6;vie\,
06-06-2025 7:00;99,167;99,817;100,533;102,65;104,2;4;7;vie\,
06-06-2025 8:00;103,383;103,867;103,9;105,95;108,783;11;8;vie\,
06-06-2025 9:00;101,833;102,633;103,15;104,35;107,2;8;9;vie\,
06-06-2025 10:00;136,533;139,1;137,033;143,15;143,6;29;10;vie\,
06-06-2025 11:00;149,867;153,967;151,6;165,317;162,667;43;11;vie\,
06-06-2025 12:00;172,167;180,45;173,85;200,9;191,833;76;12;vie\,
06-06-2025 13:00;185,5;195,183;188,917;211,933;207,85;81;13;vie\,
06-06-2025 14:00;192,833;202,583;196,833;218,217;216,633;85;14;vie\,
06-06-2025 15:00;174,233;182,133;177,033;196,683;192,583;59;15;vie\,
06-06-2025 16:00;152,083;156,917;153,183;168,6;163,433;36;16;vie\,
06-06-2025 17:00;154,567;158,817;153,783;174,233;163,85;35;17;vie\,
06-06-2025 18:00;155,417;160,217;153,883;177,067;163,9;35;18;vie\,
06-06-2025 19:00;156,25;160,85;154,617;180,95;165,517;36;19;vie\,
06-06-2025 20:00;156,9;161,1;154,467;182,817;166,467;39;20;vie\,
06-06-2025 21:00;157,233;161,35;155,083;184,4;167,833;39;21;vie\,
06-06-2025 22:00;157,9;163,383;157,167;188,667;170,5;43;22;vie\,
06-06-2025 23:00;158,233;163,417;156,917;187,833;170,433;49;23;vie\,
07-06-2025;159,433;164,667;158,067;190,317;171,983;39;0;sáb\,
07-06-2025 1:00;160,367;164,967;158,2;191,217;173,067;40;1;sáb\,
07-06-2025 2:00;160,083;165,283;158,667;191,4;172,917;46;2;sáb\,
07-06-2025 3:00;160,017;165,367;158,233;190,5;171,65;43;3;sáb\,
07-06-2025 4:00;159,65;164,583;157,45;188,633;170,033;43;4;sáb\,
07-06-2025 5:00;159,917;165,017;157,1;188,117;169,017;41;5;sáb\,
07-06-2025 6:00;159,583;163,433;156,1;184,717;167,667;39;6;sáb\,
07-06-2025 7:00;158,967;162,483;154,767;180,133;166,2;29;7;sáb\,
07-06-2025 8:00;155,967;159,4;152,817;173,867;163,767;29;8;sáb\,
07-06-2025 9:00;159,683;163,783;157,8;184,483;171,567;43;9;sáb\,
07-06-2025 10:00;164,967;171,183;163,2;194,35;181;51;10;sáb\,
07-06-2025 11:00;164,45;171,25;165,55;186,333;179,8;57;11;sáb\,
07-06-2025 12:00;164,333;171,333;166,567;185,783;182,067;63;12;sáb\,
07-06-2025 13:00;163,183;169,65;164,867;185,9;180,8;61;13;sáb\,
07-06-2025 14:00;158,95;165,283;160,567;182,45;175,317;59;14;sáb\,
07-06-2025 15:00;152,3;157,733;153,95;173,917;167,15;56;15;sáb\,
07-06-2025 16:00;169,317;175,75;170,117;200,417;185,85;73;16;sáb\,
07-06-2025 17:00;178,6;184,117;175,817;219,267;198,233;79;17;sáb\,
07-06-2025 18:00;179,567;183,517;171,8;223,35;195,767;75;18;sáb\,
07-06-2025 19:00;181,833;186,367;173,617;227,883;197,667;74;19;sáb\,
07-06-2025 20:00;178,183;183,967;172,017;221;196,333;81;20;sáb\,
07-06-2025 21:00;171,683;176,3;166,917;208,617;188,183;62;21;sáb\,
07-06-2025 22:00;164,567;169,2;162,783;193,733;177,933;59;22;sáb\,
07-06-2025 23:00;157,45;161,4;156,15;176,417;166,467;48;23;sáb\,
08-06-2025;151,75;154,967;150,167;165,817;160,65;44;0;dom\,
08-06-2025 1:00;146,367;148,7;144,183;160,167;155,283;32;1;dom\,
08-06-2025 2:00;138,783;140,233;135,733;152,317;147;25;2;dom\,
08-06-2025 3:00;138,533;140,067;136,383;150,567;146,167;28;3;dom\,
08-06-2025 4:00;137,917;139,75;135,433;151,85;146,583;26;4;dom\,
08-06-2025 5:00;131,45;132,05;127,75;144,8;138,85;17;5;dom\,
08-06-2025 6:00;144,75;147,133;141,283;162,75;154,4;35;6;dom\,
08-06-2025 7:00;130,133;130,317;126,45;144,2;138,65;18;7;dom\,
08-06-2025 8:00;111,833;111,25;109,15;125,183;118,65;11;8;dom\,
08-06-2025 9:00;117,217;116,433;113,817;127,217;124,933;13;9;dom\,
08-06-2025 10:00;125,233;126,85;124,217;134,9;132,367;18;10;dom\,
08-06-2025 11:00;135,217;137,983;135,9;146,8;143,583;25;11;dom\,
08-06-2025 12:00;139,467;142,183;140,65;150,117;148,183;30;12;dom\,
08-06-2025 13:00;136,467;138,567;137,133;145,717;144,883;27;13;dom\,
08-06-2025 14:00;146,4;149,267;147,683;158,4;156,617;42;14;dom\,
08-06-2025 15:00;148,4;151,467;149,833;165,25;159,9;43;15;dom\,
08-06-2025 16:00;149,033;153,1;150,55;169,3;161,217;47;16;dom\,
08-06-2025 17:00;153,367;156,9;152,317;174,917;165,75;59;17;dom\,
08-06-2025 18:00;155,383;159,283;154,083;175,85;164,95;47;18;dom\,
08-06-2025 19:00;150,4;153,767;149,567;163,333;159,3;45;19;dom\,
08-06-2025 20:00;145,033;147,867;143,617;156,867;153,783;29;20;dom\,
08-06-2025 21:00;142,7;145,367;141,033;154,167;151,133;29;21;dom\,
08-06-2025 22:00;137,7;139,65;135,9;149,117;145,983;27;22;dom\,
