"wday";"hour";"sensor";"sensores";"value_PM25"
"mié\,";1;"P1";"value";154,15
"mié\,";1;"SINCA";"PM25_SINCA";41
"mié\,";1;"P2";"value";158,783
"mié\,";1;"SINCA";"PM25_SINCA";41
"mié\,";1;"P3";"value";154,417
"mié\,";1;"SINCA";"PM25_SINCA";41
"mié\,";1;"P4";"value";164,933
"mié\,";1;"SINCA";"PM25_SINCA";41
"mié\,";1;"P5";"value";165,083
"mié\,";1;"SINCA";"PM25_SINCA";41
"mié\,";2;"P1";"value";140,55
"mié\,";2;"SINCA";"PM25_SINCA";26
"mié\,";2;"P2";"value";143,55
"mié\,";2;"SINCA";"PM25_SINCA";26
"mié\,";2;"P3";"value";139,9
"mié\,";2;"SINCA";"PM25_SINCA";26
"mié\,";2;"P4";"value";146,933
"mié\,";2;"SINCA";"PM25_SINCA";26
"mié\,";2;"P5";"value";148,183
"mié\,";2;"SINCA";"PM25_SINCA";26
"mié\,";3;"P1";"value";143,05
"mié\,";3;"SINCA";"PM25_SINCA";22
"mié\,";3;"P2";"value";146,483
"mié\,";3;"SINCA";"PM25_SINCA";22
"mié\,";3;"P3";"value";142,183
"mié\,";3;"SINCA";"PM25_SINCA";22
"mié\,";3;"P4";"value";150,017
"mié\,";3;"SINCA";"PM25_SINCA";22
"mié\,";3;"P5";"value";151,05
"mié\,";3;"SINCA";"PM25_SINCA";22
"mié\,";4;"P1";"value";153,467
"mié\,";4;"SINCA";"PM25_SINCA";35
"mié\,";4;"P2";"value";157,9
"mié\,";4;"SINCA";"PM25_SINCA";35
"mié\,";4;"P3";"value";153,183
"mié\,";4;"SINCA";"PM25_SINCA";35
"mié\,";4;"P4";"value";161,983
"mié\,";4;"SINCA";"PM25_SINCA";35
"mié\,";4;"P5";"value";162,183
"mié\,";4;"SINCA";"PM25_SINCA";35
"mié\,";5;"P1";"value";148,25
"mié\,";5;"SINCA";"PM25_SINCA";35
"mié\,";5;"P2";"value";151,933
"mié\,";5;"SINCA";"PM25_SINCA";35
"mié\,";5;"P3";"value";147,667
"mié\,";5;"SINCA";"PM25_SINCA";35
"mié\,";5;"P4";"value";155,233
"mié\,";5;"SINCA";"PM25_SINCA";35
"mié\,";5;"P5";"value";156,633
"mié\,";5;"SINCA";"PM25_SINCA";35
"mié\,";6;"P1";"value";152,85
"mié\,";6;"SINCA";"PM25_SINCA";37
"mié\,";6;"P2";"value";157,65
"mié\,";6;"SINCA";"PM25_SINCA";37
"mié\,";6;"P3";"value";151,95
"mié\,";6;"SINCA";"PM25_SINCA";37
"mié\,";6;"P4";"value";163,733
"mié\,";6;"SINCA";"PM25_SINCA";37
"mié\,";6;"P5";"value";163,3
"mié\,";6;"SINCA";"PM25_SINCA";37
"mié\,";7;"P1";"value";172,633
"mié\,";7;"SINCA";"PM25_SINCA";56
"mié\,";7;"P2";"value";179,683
"mié\,";7;"SINCA";"PM25_SINCA";56
"mié\,";7;"P3";"value";170,85
"mié\,";7;"SINCA";"PM25_SINCA";56
"mié\,";7;"P4";"value";192,95
"mié\,";7;"SINCA";"PM25_SINCA";56
"mié\,";7;"P5";"value";189,283
"mié\,";7;"SINCA";"PM25_SINCA";56
"mié\,";8;"P1";"value";163,333
"mié\,";8;"SINCA";"PM25_SINCA";48
"mié\,";8;"P2";"value";168,65
"mié\,";8;"SINCA";"PM25_SINCA";48
"mié\,";8;"P3";"value";161,433
"mié\,";8;"SINCA";"PM25_SINCA";48
"mié\,";8;"P4";"value";179,867
"mié\,";8;"SINCA";"PM25_SINCA";48
"mié\,";8;"P5";"value";178,417
"mié\,";8;"SINCA";"PM25_SINCA";48
"mié\,";9;"P1";"value";177,167
"mié\,";9;"SINCA";"PM25_SINCA";57
"mié\,";9;"P2";"value";185,567
"mié\,";9;"SINCA";"PM25_SINCA";57
"mié\,";9;"P3";"value";177,15
"mié\,";9;"SINCA";"PM25_SINCA";57
"mié\,";9;"P4";"value";197,15
"mié\,";9;"SINCA";"PM25_SINCA";57
"mié\,";9;"P5";"value";196,617
"mié\,";9;"SINCA";"PM25_SINCA";57
"mié\,";10;"P1";"value";195,25
"mié\,";10;"SINCA";"PM25_SINCA";75
"mié\,";10;"P2";"value";207,033
"mié\,";10;"SINCA";"PM25_SINCA";75
"mié\,";10;"P3";"value";199,083
"mié\,";10;"SINCA";"PM25_SINCA";75
"mié\,";10;"P4";"value";214,283
"mié\,";10;"SINCA";"PM25_SINCA";75
"mié\,";10;"P5";"value";218,85
"mié\,";10;"SINCA";"PM25_SINCA";75
"mié\,";11;"P1";"value";199,217
"mié\,";11;"SINCA";"PM25_SINCA";78
"mié\,";11;"P2";"value";212,483
"mié\,";11;"SINCA";"PM25_SINCA";78
"mié\,";11;"P3";"value";207,283
"mié\,";11;"SINCA";"PM25_SINCA";78
"mié\,";11;"P4";"value";209,95
"mié\,";11;"SINCA";"PM25_SINCA";78
"mié\,";11;"P5";"value";224,25
"mié\,";11;"SINCA";"PM25_SINCA";78
"mié\,";12;"P1";"value";179,85
"mié\,";12;"SINCA";"PM25_SINCA";63
"mié\,";12;"P2";"value";190,217
"mié\,";12;"SINCA";"PM25_SINCA";63
"mié\,";12;"P3";"value";186,117
"mié\,";12;"SINCA";"PM25_SINCA";63
"mié\,";12;"P4";"value";191,4
"mié\,";12;"SINCA";"PM25_SINCA";63
"mié\,";12;"P5";"value";201,217
"mié\,";12;"SINCA";"PM25_SINCA";63
"mié\,";13;"P1";"value";187,617
"mié\,";13;"SINCA";"PM25_SINCA";65
"mié\,";13;"P2";"value";197,717
"mié\,";13;"SINCA";"PM25_SINCA";65
"mié\,";13;"P3";"value";193,033
"mié\,";13;"SINCA";"PM25_SINCA";65
"mié\,";13;"P4";"value";202,033
"mié\,";13;"SINCA";"PM25_SINCA";65
"mié\,";13;"P5";"value";209,233
"mié\,";13;"SINCA";"PM25_SINCA";65
"mié\,";14;"P1";"value";197,483
"mié\,";14;"SINCA";"PM25_SINCA";77
"mié\,";14;"P2";"value";209,25
"mié\,";14;"SINCA";"PM25_SINCA";77
"mié\,";14;"P3";"value";204,15
"mié\,";14;"SINCA";"PM25_SINCA";77
"mié\,";14;"P4";"value";215,1
"mié\,";14;"SINCA";"PM25_SINCA";77
"mié\,";14;"P5";"value";221,833
"mié\,";14;"SINCA";"PM25_SINCA";77
"mié\,";15;"P1";"value";192,067
"mié\,";15;"SINCA";"PM25_SINCA";81
"mié\,";15;"P2";"value";202,883
"mié\,";15;"SINCA";"PM25_SINCA";81
"mié\,";15;"P3";"value";197,867
"mié\,";15;"SINCA";"PM25_SINCA";81
"mié\,";15;"P4";"value";212,417
"mié\,";15;"SINCA";"PM25_SINCA";81
"mié\,";15;"P5";"value";215,033
"mié\,";15;"SINCA";"PM25_SINCA";81
"mié\,";16;"P1";"value";180,55
"mié\,";16;"SINCA";"PM25_SINCA";68
"mié\,";16;"P2";"value";190,133
"mié\,";16;"SINCA";"PM25_SINCA";68
"mié\,";16;"P3";"value";185,333
"mié\,";16;"SINCA";"PM25_SINCA";68
"mié\,";16;"P4";"value";201,267
"mié\,";16;"SINCA";"PM25_SINCA";68
"mié\,";16;"P5";"value";200,583
"mié\,";16;"SINCA";"PM25_SINCA";68
"mié\,";17;"P1";"value";187,65
"mié\,";17;"SINCA";"PM25_SINCA";74
"mié\,";17;"P2";"value";193,117
"mié\,";17;"SINCA";"PM25_SINCA";74
"mié\,";17;"P3";"value";186,133
"mié\,";17;"SINCA";"PM25_SINCA";74
"mié\,";17;"P4";"value";211,717
"mié\,";17;"SINCA";"PM25_SINCA";74
"mié\,";17;"P5";"value";208,25
"mié\,";17;"SINCA";"PM25_SINCA";74
"mié\,";18;"P1";"value";191,417
"mié\,";18;"SINCA";"PM25_SINCA";69
"mié\,";18;"P2";"value";196,583
"mié\,";18;"SINCA";"PM25_SINCA";69
"mié\,";18;"P3";"value";185,15
"mié\,";18;"SINCA";"PM25_SINCA";69
"mié\,";18;"P4";"value";216,867
"mié\,";18;"SINCA";"PM25_SINCA";69
"mié\,";18;"P5";"value";207,383
"mié\,";18;"SINCA";"PM25_SINCA";69
"mié\,";19;"P1";"value";194,5
"mié\,";19;"SINCA";"PM25_SINCA";70
"mié\,";19;"P2";"value";200,267
"mié\,";19;"SINCA";"PM25_SINCA";70
"mié\,";19;"P3";"value";187,6
"mié\,";19;"SINCA";"PM25_SINCA";70
"mié\,";19;"P4";"value";224,633
"mié\,";19;"SINCA";"PM25_SINCA";70
"mié\,";19;"P5";"value";210,667
"mié\,";19;"SINCA";"PM25_SINCA";70
"mié\,";20;"P1";"value";190,917
"mié\,";20;"SINCA";"PM25_SINCA";68
"mié\,";20;"P2";"value";197,417
"mié\,";20;"SINCA";"PM25_SINCA";68
"mié\,";20;"P3";"value";184,817
"mié\,";20;"SINCA";"PM25_SINCA";68
"mié\,";20;"P4";"value";222,317
"mié\,";20;"SINCA";"PM25_SINCA";68
"mié\,";20;"P5";"value";208,75
"mié\,";20;"SINCA";"PM25_SINCA";68
"mié\,";21;"P1";"value";184,85
"mié\,";21;"SINCA";"PM25_SINCA";60
"mié\,";21;"P2";"value";190,317
"mié\,";21;"SINCA";"PM25_SINCA";60
"mié\,";21;"P3";"value";179,017
"mié\,";21;"SINCA";"PM25_SINCA";60
"mié\,";21;"P4";"value";214,967
"mié\,";21;"SINCA";"PM25_SINCA";60
"mié\,";21;"P5";"value";202,567
"mié\,";21;"SINCA";"PM25_SINCA";60
"mié\,";22;"P1";"value";167,433
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P2";"value";171,867
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P3";"value";164,383
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P4";"value";191,35
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P5";"value";181,833
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";23;"P1";"value";160,317
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P2";"value";164,483
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P3";"value";158,25
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P4";"value";179,017
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P5";"value";170,25
"mié\,";23;"SINCA";"PM25_SINCA";39
"jue\,";0;"P1";"value";156,917
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P2";"value";160,617
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P3";"value";155,833
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P4";"value";172,133
"jue\,";0;"SINCA";"PM25_SINCA";35
