"sensor";"referencia";"predicho";"error";"error_abs";"Clasificacion"
"PM25_P1";41;154,15;113,15;113,15;"No calibrados"
"PM25_P1";26;140,55;114,55;114,55;"No calibrados"
"PM25_P1";22;143,05;121,05;121,05;"No calibrados"
"PM25_P1";35;153,467;118,467;118,467;"No calibrados"
"PM25_P1";35;148,25;113,25;113,25;"No calibrados"
"PM25_P1";37;152,85;115,85;115,85;"No calibrados"
"PM25_P1";56;172,633;116,633;116,633;"No calibrados"
"PM25_P1";48;163,333;115,333;115,333;"No calibrados"
"PM25_P1";57;177,167;120,167;120,167;"No calibrados"
"PM25_P1";75;195,25;120,25;120,25;"No calibrados"
"PM25_P1";78;199,217;121,217;121,217;"No calibrados"
"PM25_P1";63;179,85;116,85;116,85;"No calibrados"
"PM25_P1";65;187,617;122,617;122,617;"No calibrados"
"PM25_P1";77;197,483;120,483;120,483;"No calibrados"
"PM25_P1";81;192,067;111,067;111,067;"No calibrados"
"PM25_P1";68;180,55;112,55;112,55;"No calibrados"
"PM25_P1";74;187,65;113,65;113,65;"No calibrados"
"PM25_P1";69;191,417;122,417;122,417;"No calibrados"
"PM25_P1";70;194,5;124,5;124,5;"No calibrados"
"PM25_P1";68;190,917;122,917;122,917;"No calibrados"
"PM25_P1";60;184,85;124,85;124,85;"No calibrados"
"PM25_P1";47;167,433;120,433;120,433;"No calibrados"
"PM25_P1";39;160,317;121,317;121,317;"No calibrados"
"PM25_P1";35;156,917;121,917;121,917;"No calibrados"
"PM25_P1";34;154,3;120,3;120,3;"No calibrados"
"PM25_P1";29;149,383;120,383;120,383;"No calibrados"
"PM25_P1";23;143,933;120,933;120,933;"No calibrados"
"PM25_P1";21;140,767;119,767;119,767;"No calibrados"
"PM25_P1";16;132,133;116,133;116,133;"No calibrados"
"PM25_P1";13;124,133;111,133;111,133;"No calibrados"
"PM25_P1";11;114,967;103,967;103,967;"No calibrados"
"PM25_P1";13;111,317;98,317;98,317;"No calibrados"
"PM25_P1";13;108,9;95,9;95,9;"No calibrados"
"PM25_P1";21;130,45;109,45;109,45;"No calibrados"
"PM25_P1";36;140,7;104,7;104,7;"No calibrados"
"PM25_P1";37;142,25;105,25;105,25;"No calibrados"
"PM25_P1";33;140,067;107,067;107,067;"No calibrados"
"PM25_P1";42;142,8;100,8;100,8;"No calibrados"
"PM25_P1";57;157,183;100,183;100,183;"No calibrados"
"PM25_P1";82;180,067;98,067;98,067;"No calibrados"
"PM25_P1";86;184,717;98,717;98,717;"No calibrados"
"PM25_P1";78;179,333;101,333;101,333;"No calibrados"
"PM25_P1";61;159,167;98,167;98,167;"No calibrados"
"PM25_P1";49;151,867;102,867;102,867;"No calibrados"
"PM25_P1";36;143,9;107,9;107,9;"No calibrados"
"PM25_P1";27;138,667;111,667;111,667;"No calibrados"
"PM25_P1";27;134,583;107,583;107,583;"No calibrados"
"PM25_P1";17;125,9;108,9;108,9;"No calibrados"
"PM25_P1";12;114,083;102,083;102,083;"No calibrados"
"PM25_P1";8;106,433;98,433;98,433;"No calibrados"
"PM25_P1";6;102,233;96,233;96,233;"No calibrados"
"PM25_P1";4;100,05;96,05;96,05;"No calibrados"
"PM25_P1";6;99,033;93,033;93,033;"No calibrados"
"PM25_P1";7;98,083;91,083;91,083;"No calibrados"
"PM25_P1";4;99,167;95,167;95,167;"No calibrados"
"PM25_P1";11;103,383;92,383;92,383;"No calibrados"
"PM25_P1";8;101,833;93,833;93,833;"No calibrados"
