Fecha;Hora;PM25_P1;PM25_P2;PM25_P3;PM25_P4;PM25_P5;PM25_SINCA
250604;100;154,15;158,783;154,417;164,933;165,083;41
250604;200;140,55;143,55;139,9;146,933;148,183;26
250604;300;143,05;146,483;142,183;150,017;151,05;22
250604;400;153,467;157,9;153,183;161,983;162,183;35
250604;500;148,25;151,933;147,667;155,233;156,633;35
250604;600;152,85;157,65;151,95;163,733;163,3;37
250604;700;172,633;179,683;170,85;192,95;189,283;56
250604;800;163,333;168,65;161,433;179,867;178,417;48
250604;900;177,167;185,567;177,15;197,15;196,617;57
250604;1000;195,25;207,033;199,083;214,283;218,85;75
250604;1100;199,217;212,483;207,283;209,95;224,25;78
250604;1200;179,85;190,217;186,117;191,4;201,217;63
250604;1300;187,617;197,717;193,033;202,033;209,233;65
250604;1400;197,483;209,25;204,15;215,1;221,833;77
250604;1500;192,067;202,883;197,867;212,417;215,033;81
250604;1600;180,55;190,133;185,333;201,267;200,583;68
250604;1700;187,65;193,117;186,133;211,717;208,25;74
250604;1800;191,417;196,583;185,15;216,867;207,383;69
250604;1900;194,5;200,267;187,6;224,633;210,667;70
250604;2000;190,917;197,417;184,817;222,317;208,75;68
250604;2100;184,85;190,317;179,017;214,967;202,567;60
250604;2200;167,433;171,867;164,383;191,35;181,833;47
250604;2300;160,317;164,483;158,25;179,017;170,25;39
250605;0;156,917;160,617;155,833;172,133;166,467;35
250605;100;154,3;157,783;152,833;167,667;164,017;34
250605;200;149,383;151,917;147,05;160,367;157,783;29
250605;300;143,933;146,267;141,583;155,4;152,217;23
250605;400;140,767;142,467;137,683;152,167;148,767;21
250605;500;132,133;133,083;129,183;142,967;140,7;16
250605;600;124,133;124,4;120,417;133,333;130,967;13
250605;700;114,967;114,383;111,633;122,883;122,55;11
250605;800;111,317;110,9;109,833;116,717;118,583;13
250605;900;108,9;109,383;109,467;110,95;115,65;13
250605;1000;130,45;134,6;132,65;133,417;140,55;21
250605;1100;140,7;143,4;142,15;148,8;148,967;36
250605;1200;142,25;145,1;143,633;150,167;150,617;37
250605;1300;140,067;142,5;141,183;148,25;148,483;33
250605;1400;142,8;145,267;143,85;152,983;151,3;42
250605;1500;157,183;163,233;158,867;180,383;172,717;57
250605;1600;180,067;190,017;181,9;215,717;200,4;82
250605;1700;184,717;189,183;181,383;220,783;203,333;86
250605;1800;179,333;184,817;175,167;215,217;195,067;78
250605;1900;159,167;163;157,867;185,2;172,583;61
250605;2000;151,867;155,117;151,1;168,55;161,45;49
250605;2100;143,9;146,85;143,467;154,617;152,767;36
250605;2200;138,667;141,183;138,083;148,283;146,867;27
250605;2300;134,583;136,7;133,45;143,5;142,717;27
250606;0;125,9;126,767;123,75;135,133;133,267;17
250606;100;114,083;113,283;111,217;123,917;122,017;12
250606;200;106,433;106,45;106,25;112,783;112,483;8
250606;300;102,233;102,733;102,667;106,617;107,767;6
250606;400;100,05;100,333;100,983;104,433;105,467;4
250606;500;99,033;99,467;100,1;103,133;104,2;6
250606;600;98,083;99,05;100;102,05;103,167;7
250606;700;99,167;99,817;100,533;102,65;104,2;4
250606;800;103,383;103,867;103,9;105,95;108,783;11
250606;900;101,833;102,633;103,15;104,35;107,2;8
250606;1000;136,533;139,1;137,033;143,15;143,6;29
250606;1100;149,867;153,967;151,6;165,317;162,667;43
250606;1200;172,167;180,45;173,85;200,9;191,833;76
250606;1300;185,5;195,183;188,917;211,933;207,85;81
250606;1400;192,833;202,583;196,833;218,217;216,633;85
250606;1500;174,233;182,133;177,033;196,683;192,583;59
250606;1600;152,083;156,917;153,183;168,6;163,433;36
250606;1700;154,567;158,817;153,783;174,233;163,85;35
250606;1800;155,417;160,217;153,883;177,067;163,9;35
250606;1900;156,25;160,85;154,617;180,95;165,517;36
250606;2000;156,9;161,1;154,467;182,817;166,467;39
250606;2100;157,233;161,35;155,083;184,4;167,833;39
250606;2200;157,9;163,383;157,167;188,667;170,5;43
250606;2300;158,233;163,417;156,917;187,833;170,433;49
250607;0;159,433;164,667;158,067;190,317;171,983;39
250607;100;160,367;164,967;158,2;191,217;173,067;40
250607;200;160,083;165,283;158,667;191,4;172,917;46
250607;300;160,017;165,367;158,233;190,5;171,65;43
250607;400;159,65;164,583;157,45;188,633;170,033;43
250607;500;159,917;165,017;157,1;188,117;169,017;41
250607;600;159,583;163,433;156,1;184,717;167,667;39
250607;700;158,967;162,483;154,767;180,133;166,2;29
250607;800;155,967;159,4;152,817;173,867;163,767;29
250607;900;159,683;163,783;157,8;184,483;171,567;43
250607;1000;164,967;171,183;163,2;194,35;181;51
250607;1100;164,45;171,25;165,55;186,333;179,8;57
250607;1200;164,333;171,333;166,567;185,783;182,067;63
